Brand,Resolution,Size ,Selling Price,Original Price,Operating System,Rating
TCL ,QLED Ultra HD,55,59999,189990,Android,3.9
Sansui ,Full HD LED,40,24990,29290,Linux,3.7
Intex ,HD LED,39,19800,33330,Android,4.2
SAMSUNG,QLED Ultra HD,49,64990,101900,Tizen,4.8
SAMSUNG,QLED Ultra HD,55,105990,189990,Tizen,
LumX ,HD LED,32,11990,26900,Android,3.7
Candes ,Full HD LED,43,20999,38490,Android,4.1
Haier ,Ultra HD LED,65,69590,106990,Android,
Haier ,Ultra HD LED,65,99999,149990,Android,
Lloyd ,Full HD LED,39,22990,32990,Linux,4.1
SAMSUNG,HD LED,32,17999,23890,Tizen,4.2
DETEL ,Ultra HD LED,55,35199,89000,Android,4
BPL ,Ultra HD LED,50,42490,60000,Android,
LG ,Ultra HD LED,49,59999,110990,WebOS,4.3
LG ,Ultra HD LED,65,99990,169990,WebOS,4.5
Haier ,HD LED,32,18590,31090,Android,
JVC,Ultra HD LED,55,37999,59999,Android,4.1
Panasonic,Ultra HD LED,43,35999,84900,Linux,4.4
Haier ,HD LED,32,18290,22990,Android,4
T-Series,HD LED,40,19999,28990,Android,
T-Series,HD LED,32,15990,16990,Linux,
Lloyd ,HD LED,32,18689,26957,Linux,
Lloyd ,Full HD LED,43,34990,48990,Linux,
BPL ,HD LED,32,16499,27000,Android,3.7
LG ,Ultra HD LED,49,58999,90990,WebOS,4.3
BPL ,HD LED,43,28990,35999,Android,
SAMSUNG,HD LED,32,26900,26900,Tizen,4
SONY ,Ultra HD LED,65,191492,364900,Android,3.8
Lloyd ,Ultra HD LED,50,44999,84990,Linux,4.3
LG ,Ultra HD LED,65,189999,299990,WebOS,2.7
Candes ,HD LED,24,8699,15990,Android,3.9
SAMSUNG,Ultra HD LED,50,52890,70900,Tizen,4
IMPEX ,Full HD LED,43,27039,32039,HomeOS,4
Haier ,Full HD LED,50,42999,59990,Android,
LG ,Ultra HD LED,43,79990,79990,WebOS,4.4
LG ,Ultra HD LED,65,84990,129990,WebOS,
SAMSUNG,Ultra HD LED,55,229900,229900,Tizen,
Lloyd ,HD LED,31,16485,22990,Linux,4.3
TOSHIBA,Ultra HD LED,65,63999,119999,VIDAA,
LG ,Ultra HD LED,55,62490,79990,WebOS,4
SAMSUNG,Ultra HD LED,55,67990,86900,Tizen,3.9
Power Guard,Ultra HD LED,55,41999,58990,Android,
LG ,Full HD LED,43,39290,49990,WebOS,4.2
T-Series,Full HD LED,43,26999,33990,Android,
Akai ,Ultra HD LED,55,46345,59990,Android,
Power Guard,HD LED,32,13300,19990,Android,
Power Guard,Ultra HD LED,49,34900,54990,Android,
Candes ,HD LED,24,9999,17990,Android,4.1
KODAK ,Ultra HD LED,49,47990,50999,Android,4.1
T-Series,HD LED,40,19999,28990,Android,
Power Guard,QLED Ultra HD,50,51990,59990,Android,
JVC,Ultra HD LED,43,26990,52000,Android,4.3
T-Series,HD LED,40,19999,28990,Android,
Dyanora,HD LED,40,15499,23999,Android,2.4
SAMSUNG,Full HD LED,49,92500,92500,Tizen,4.1
Power Guard,QLED Ultra HD,55,69990,74990,Android,
JVC,Ultra HD LED,55,45000,69000,Android,3.9
Power Guard,Ultra HD LED,65,55990,89990,Android,
Hisense,QLED Ultra HD,75,499990,499990,Android,
SONY ,Ultra HD LED,43,40999,61900,Android,4.6
SAMSUNG,Full HD LED,43,31990,38900,Tizen,4.4
SAMSUNG,Full HD LED,43,36890,45900,Tizen,4.7
SAMSUNG,Full HD LED,43,39999,49900,Tizen,4.3
iFFALCON by TCL,Ultra HD LED,65,53499,156990,Android,4.3
Mi ,Ultra HD LED,55,47999,54999,Android,4.4
SAMSUNG,Ultra HD LED,55,51999,72900,Tizen,4.5
MOTOROLA,Ultra HD LED,50,34999,54050,Android,4.3
TCL ,Ultra HD LED,55,38356,89990,Android,
TCL ,Ultra HD LED,43,29999,55990,Linux,4.1
KODAK ,Full HD LED,40,15499,31990,Android,4.3
SAMSUNG,Full HD LED,43,34999,58900,Tizen,4.5
Micromax,HD LED,32,12990,25075,Android,4
SONY ,Ultra HD LED,49,49999,104900,Android,4.5
LG ,Ultra HD LED,43,36990,52990,WebOS,4.4
SONY ,HD LED,32,14023,25900,Android,4.4
Thomson,Ultra HD LED,65,47999,79999,Android,4.4
Thomson,Full HD LED,43,17999,26999,Android,4.2
SAMSUNG,Ultra HD LED,43,43751,77900,Tizen,4.4
TCL ,Ultra HD LED,55,37319,51990,Linux,4.3
LG ,Ultra HD LED,75,149990,269900,WebOS,
TOSHIBA,Ultra HD LED,55,40599,50999,VIDAA,4.3
SAMSUNG,Ultra HD LED,43,36999,66900,Tizen,4.5
PHILIPS,Ultra HD LED,65,78999,199990,Android,4.6
Vu,Ultra HD LED,55,29950,49990,Linux,4.4
Micromax,Ultra HD LED,55,49999,69990,Android,4.2
LG ,Ultra HD LED,43,37890,49990,WebOS,4.5
SONY ,Ultra HD LED,49,60999,84900,Linux,4.5
LG ,Ultra HD LED,55,84999,166990,WebOS,4.5
SAMSUNG,Full HD LED,43,36514,46900,Tizen,4.5
G-TEN ,HD LED,40,15990,35890,Android,3.7
LG ,Ultra HD LED,49,47249,73990,WebOS,4.3
TCL ,Ultra HD LED,50,33999,62990,Android,4.4
TCL ,Ultra HD LED,43,27889,52990,Android,4.4
SAMSUNG,HD LED,32,11999,21900,Tizen,4.4
LG ,Ultra HD LED,65,102890,172990,WebOS,5
IMPEX ,HD LED,39,19039,26350,HomeOS,
LG ,HD LED,28,13945,17990,Linux,4.4
SONY ,Full HD LED,40,31999,37990,Android,4.3
iFFALCON by TCL,Ultra HD LED,55,31999,70990,Android,4.4
SONY ,HD LED,32,20738,22990,Android,5
TCL ,HD LED,32,15499,25990,Linux,4.1
Compaq ,QLED Ultra HD,55,59999,99999,Android,4.4
SAMSUNG,Full HD LED,43,36999,58900,Tizen,4.3
PHILIPS,Full HD LED,43,24999,55990,Linux,4
Haier ,Full HD LED,40,25590,36990,Android,4.7
SAMSUNG,Ultra HD LED,43,36106,69900,Tizen,4.3
SAMSUNG,Full HD LED,43,24726,45900,Tizen,3.8
TCL ,Ultra HD LED,43,25999,48990,Linux,4.1
Vu,Ultra HD LED,75,84999,130000,Linux,4.1
Skyworth,HD LED,24,8659,12490,,3
Maser ,HD LED,24,7499,7999,,3.8
IMPEX ,Full HD LED,43,36379,52990,HomeOS,4
SAMSUNG,HD LED,32,15210,27900,Tizen,4.3
TCL ,HD LED,24,7499,11990,HomeOS,4
PHILIPS,Full HD LED,42,42000,42000,Android,3.8
Micromax,HD LED,32,14999,27990,Android,4.1
Sanyo ,Ultra HD LED,55,50999,76990,Linux,4.5
SONY ,Ultra HD LED,55,134993,299900,Linux,
SONY ,HD LED,32,22999,27990,Linux,4.4
Micromax,HD LED,20,6498,10590,Android,4.2
SONY ,Ultra HD LED,55,82493,129900,Android,4.8
LG ,HD LED,32,28311,30900,WebOS,3.7
Vu,HD LED,32,13999,19000,Android,4.3
SONY ,Ultra HD LED,49,66104,129900,Android,4.4
SAMSUNG,Ultra HD LED,43,35999,52900,Tizen,4.5
Panasonic,Full HD LED,43,36999,49900,Android,4.4
LG ,Ultra HD LED,50,44990,66990,WebOS,4.4
LG ,HD LED,24,14771,15900,Linux,4.4
Micromax,HD LED,32,10499,19990,Android,4.3
SAMSUNG,HD LED,32,17499,20900,Tizen,4.3
Vu,Full HD LED,40,16999,32175,Android,4.4
SAMSUNG,Full HD LED,40,19929,43476,Tizen,4.3
TCL ,QLED Ultra HD,75,149990,399990,Android,3.9
iFFALCON by TCL,Ultra HD LED,43,29999,76990,Android,4.3
Panasonic,Full HD LED,49,42999,72900,Linux,4.2
Vu,Full HD LED,43,22499,31000,Android,4.2
MURPHY ,Full HD LED,32,12990,16990,,
Hisense,QLED Ultra HD,65,84990,109990,Android,
CloudWalker,Ultra HD LED,55,36999,61990,Android,4.1
SONY ,Full HD LED,32,31990,39990,Linux,4.5
Sanyo ,Ultra HD LED,49,39999,64990,Linux,3.9
Panasonic,Full HD LED,43,27990,56900,Android,4.1
Vu,Ultra HD LED,50,37254,60000,Android,4.3
LG ,Ultra HD LED,55,115658,212490,WebOS,4.6
SONY ,Ultra HD LED,65,152999,269900,Android,4.5
Micromax,Full HD LED,40,18990,36663,Android,4.2
LG ,Full HD LED,22,13933,14500,Linux,4.6
LG ,HD LED,24,14495,14500,Linux,4.4
SONY ,Ultra HD LED,65,140791,209900,Android,4.8
Vu,Ultra HD LED,50,27999,55000,Android,4.4
Mi ,Ultra HD LED,55,43477,44999,Android,
TCL ,Full HD LED,40,19489,36419,Linux,4.1
Panasonic,Ultra HD LED,65,114999,179900,Linux,4.8
LG ,Ultra HD LED,43,36999,55990,WebOS,4.5
LG ,HD LED,32,19603,26490,Linux,4.4
Samsung,Full HD LED,50,36900,36900,Tizen,3.8
PHILIPS,Ultra HD LED,55,48999,89990,Android,4
Micromax,HD LED,22,8900,10000,Android,4.2
Vu,Ultra HD LED,50,50000,50000,Android,4.4
Mi ,Full HD LED,49,32994,32999,Android,4.4
Intex ,HD LED,32,12699,27990,Android,3.6
KODAK ,Full HD LED,49,22999,31990,Android,4.3
PHILIPS,HD LED,32,10840,24990,Android,4.1
Onida,Full HD LED,49,29990,50990,Android,4.4
Dektron,HD LED,24,6999,10999,Linux,4.3
RGL ,Full HD LED,21,5200,9420,HomeOS,3.9
SONY ,Full HD LED,52,37900,37900,Linux,4.6
CloudWalker,Full HD LED,43,17499,32990,Android,4.3
LG ,HD LED,24,15552,16900,Linux,2
TOSHIBA,Ultra HD LED,43,28999,38999,VIDAA,
LG ,Full HD LED,22,12453,13500,Linux,4.1
iFFALCON by TCL,HD LED,32,13990,18990,Android,4.2
LG ,Full HD LED,32,32527,38900,WebOS,4.3
SAMSUNG,Full HD LED,40,33000,43850,Tizen,3.8
Micromax,HD LED,24,5792,11990,Android,4.3
CloudWalker,Ultra HD LED,55,84500,84500,Android,3.7
SAMSUNG,Full HD LED,32,20126,40900,Tizen,4.4
SAMSUNG,Full HD LED,32,15990,34900,Tizen,4.2
Vu,HD LED,32,14999,15000,Android,4.3
LumX ,HD LED,32,11990,23900,Android,
Panasonic,Full HD LED,43,53999,59900,Android,4.4
RGL ,Full HD LED,22,5490,9990,HomeOS,3.9
LG ,Full HD LED,32,31990,31990,WebOS,4.4
CloudWalker,HD LED,32,11999,19990,Android,4.3
Sharp ,Ultra HD LED,50,37396,79990,Linux,
Candes ,Full HD LED,40,15999,29990,Android,4.1
Akai ,HD LED,32,17500,23190,Android,
SONY ,Full HD LED,50,52999,79900,Linux,4.5
LG ,Full HD LED,43,25999,35990,WebOS,4.3
Candes ,HD LED,24,9999,17990,Android,4.1
Onida,Ultra HD LED,43,29800,49990,Android,4.1
MOTOROLA,Ultra HD LED,55,39999,61600,Android,4.3
Vu,Ultra HD LED,43,23999,46165,Android,4.3
CloudWalker,Full HD LED,39,14999,26990,Android,4.2
LG ,HD LED,32,20776,28990,WebOS,4.5
CloudWalker,HD LED,32,17989,17990,Android,4.3
CloudWalker,Full HD LED,43,21999,31990,Android,4
LG ,HD LED,24,6765,13490,Linux,4.3
DETEL ,HD LED,32,7833,21999,Android,4.2
Vu,HD LED,32,10999,18000,Android,4.4
CloudWalker,Ultra HD LED,43,24999,37990,Android,3.9
Panasonic,HD LED,32,27399,27400,Android,4.4
Panasonic,Ultra HD LED,49,62999,111900,Android,2.8
Panasonic,Ultra HD LED,55,90104,178900,Linux,
LG ,Full HD LED,43,24930,45674,Linux,4
Micromax,HD LED,32,16825,23990,Android,4.3
Panasonic,Full HD LED,32,62900,62900,Android,
KRISONS,HD LED,20,6599,7999,Android,
Panasonic,Full HD LED,40,34639,39900,Android,4.1
Thomson,Ultra HD LED,43,24999,39999,Android,4.4
Weston ,Ultra HD LED,55,59990,59990,Android,4.2
SAMSUNG,HD LED,32,13990,28900,Tizen,4.5
TCL ,Ultra HD LED,65,159990,159990,Android,
Panasonic,HD LED,32,26999,29900,Android,4.2
Croma ,HD LED,32,13994,20000,Android,3.6
TCL ,Ultra HD LED,55,116990,116990,Android,
Blaupunkt,Ultra HD LED,55,29199,60000,Android,3.8
TCL ,Ultra HD LED,65,159990,159990,Android,
Panasonic,HD LED,32,26999,29900,Android,4.2
Croma ,HD LED,32,13994,20000,Android,3.6
TCL ,Ultra HD LED,55,116990,116990,Android,
RGL ,Full HD LED,50,35990,39990,HomeOS,3.9
SAMSUNG,Full HD LED,46,87500,87500,Tizen,3.7
AISEN  ,Ultra HD LED,55,63900,64900,Android,
Panasonic,Ultra HD LED,55,168900,168900,Android,3.8
AISEN  ,Ultra HD LED,49,47900,48900,Android,
SAMSUNG,Ultra HD LED,55,178900,178900,Tizen,3.9
SAMSUNG,Full HD LED,46,145500,145500,Tizen,
SAMSUNG,Full HD LED,60,210900,210900,Tizen,
SAMSUNG,Full HD LED,55,160500,160500,Tizen,
Samsung,Full HD LED,46,139990,139990,Tizen,4.5
Samsung,Full HD LED,55,189900,189900,Tizen,4.6
SAMSUNG,Full HD LED,55,267000,267000,Tizen,4.2
G-TEN ,Full HD LED,43,14990,38990,Android,3.5
Onida,Full HD LED,43,28999,33990,Android,4.1
SAMSUNG,Full HD LED,55,218900,218900,Tizen,
Samsung,Full HD LED,55,249990,249990,Tizen,4.3
LG ,Full HD LED,47,112000,112000,WebOS,5
Samsung,HD Plasma,43,45000,45000,Tizen,4
SAMSUNG,Full HD LED,55,246900,246900,Tizen,
LG ,Ultra HD LED,49,70556,84900,WebOS,
Onida,HD LED,32,14990,25000,Android,4.1
LG ,Full HD LED,49,62743,71900,WebOS,
LG ,Ultra HD LED,55,131825,154900,WebOS,3.8
LG ,Full HD LED,49,58988,66900,WebOS,4
LG ,Full HD LED,47,105000,105000,WebOS,
SAMSUNG,Ultra HD LED,55,178500,178500,Tizen,3.8
Samsung,HD Plasma,49,68000,68000,Tizen,3.3
LG ,Ultra HD LED,49,95007,117900,WebOS,3.4
Panasonic,Full HD LED,40,49000,50000,Android,
LG ,Ultra HD LED,49,77277,103900,WebOS,4.3
RGL ,Full HD LED,39,16490,29990,HomeOS,3.9
LG ,Full HD LED,55,250000,250000,WebOS,
LG ,Ultra HD LED,49,102325,119900,WebOS,
LG ,Full HD LED,49,67260,74900,WebOS,3.6
LG ,Ultra HD LED,55,159589,189900,WebOS,3.9
TCL ,Ultra HD LED,43,47990,47990,Android,3.7
LG ,HD Plasma,50,57990,57990,WebOS,
Panasonic,Full HD LED,43,30743,50900,Android,4.3
LG ,Full HD LED,60,210000,210000,WebOS,4.4
SAMSUNG,HD LED,32,35700,35700,Tizen,3.3
LG ,Ultra HD LED,49,102325,119900,WebOS,
LG ,Full HD LED,49,67260,74900,WebOS,3.6
LG ,Ultra HD LED,55,159589,189900,WebOS,3.9
LG ,HD Plasma,50,57990,57990,WebOS,
LG ,Full HD LED,60,210000,210000,WebOS,4.4
Panasonic,Full HD LED,43,30743,50900,Android,4.3
IMPEX ,Full HD LED,43,54990,54990,Android,
AISEN  ,Ultra HD LED,65,79990,99900,Android,
SAMSUNG,Full HD LED,65,385500,385500,Tizen,
LG ,Ultra HD LED,55,142237,169900,WebOS,5
SAMSUNG,Full HD LED,75,419900,419900,Tizen,
Onix ,Ultra HD LED,55,67990,67990,Android,
G-TEN ,HD LED,40,12999,26350,Android,3.9
LG ,Full HD LED,60,190000,190000,WebOS,4.8
SAMSUNG,HD LED,48,70500,70500,Tizen,4
TCL ,Ultra HD LED,55,74990,74990,Linux,4.3
Compaq ,Full HD LED,43,22999,29999,Android,4.2
Compaq ,Ultra HD LED,50,32999,39999,Android,4.4
Compaq ,HD LED,32,13999,15999,Android,4.2
Acer,Ultra HD LED,55,39999,54990,Android,3.8
Acer,HD LED,32,14999,22990,Android,3.9
Acer,Ultra HD LED,70,69999,99990,Android,4.3
Acer,Ultra HD LED,43,34990,34990,Android,3.8
Adsun,HD LED,39,13699,22999,Android,3.8
Adsun,Ultra HD LED,55,28499,54999,Android,3.8
Adsun,Ultra HD LED,50,23349,43999,Android,3.8
Adsun,HD LED,39,15699,21999,Android,3.8
AISEN  ,Ultra HD LED,43,33950,34950,Android,
AISEN  ,HD LED,40,17990,24990,Android,3.3
AISEN  ,HD LED,32,12990,13990,Android,
AISEN  ,Full HD LED,32,17990,31900,Android,
AISEN  ,HD LED,24,8990,9990,Android,
Akai ,Ultra HD LED,65,72940,124990,Android,
Akai ,QLED Ultra HD,55,55947,99990,Android,
Akai ,Ultra HD LED,55,46345,59990,Android,
Blaupunkt,HD LED,32,7999,18000,Android,4.2
Blaupunkt,HD LED,24,5999,11000,Android,4.1
Blaupunkt,HD LED,32,9999,22000,Android,4.1
Blaupunkt,Ultra HD LED,49,25999,45000,Android,4
Blaupunkt,Full HD LED,43,15999,32000,Android,4.2
Blaupunkt,Full HD LED,40,15999,28000,Android,4.1
Blaupunkt,Ultra HD LED,43,21999,40000,Android,3.9
Blaupunkt,Ultra HD LED,49,28999,55000,Android,4.1
Coocaa ,Ultra HD LED,50,28990,53990,Android,4.1
Coocaa ,Ultra HD LED,50,25999,59990,Android,4.3
Coocaa ,Ultra HD LED,55,31999,69999,Android,4.3
Dektron,HD LED,19,5499,8999,Linux,
Dektron,HD LED,22,6999,10999,Linux,
Dektron,HD LED,20,7399,9999,Linux,
DETEL ,HD LED,32,11300,23999,Android,3.9
G-TEN ,Full HD LED,43,16490,47990,Android,3.8
G-TEN ,HD LED,32,9990,17990,Android,4.3
G-TEN ,Ultra HD LED,50,22499,58890,Android,3.7
G-TEN ,Ultra HD LED,55,29399,65990,Android,3.9
G-TEN ,HD LED,32,12990,19990,Android,3.8
Haier ,Full HD LED,42,30999,44990,Android,5
Haier ,Full HD LED,43,30990,38642,Android,4.5
Haier ,Ultra HD LED,50,38590,54990,Android,4.3
Haier ,HD LED,32,21599,25990,Android,4
Haier ,Ultra HD LED,55,54499,89990,Android,4.6
Haier ,Ultra HD LED,50,42000,69990,Android,4
Haier ,Ultra HD LED,55,47899,77990,Android,
Haier ,HD LED,39,15990,31999,Android,4.3
Haier ,HD LED,32,7739,19990,Android,4
HUIDI ,HD LED,32,9499,16599,Android,4
HUIDI ,Ultra HD LED,49,26999,36999,Android,4.5
HUIDI ,Ultra HD LED,55,36999,46999,Android,
iFFALCON by TCL,Ultra HD LED,50,28999,58990,Android,4.3
iFFALCON by TCL,Ultra HD LED,55,113990,113990,Android,
iFFALCON by TCL,Ultra HD LED,65,49999,99990,Android,
IMPEX ,HD LED,32,9999,16990,HomeOS,3.6
IMPEX ,HD LED,32,11390,18190,HomeOS,4.7
IMPEX ,HD LED,24,7999,12990,HomeOS,4.4
IMPEX ,Ultra HD LED,55,60859,89990,Android,
IMPEX ,Full HD LED,50,31000,49990,Android,
Intex ,HD LED,38,19800,34600,Android,5
Intex ,Full HD LED,55,49900,49900,Android,4.3
Intex ,Full HD LED,50,29499,39999,Android,3.8
Intex ,Full HD LED,43,23688,47990,Android,4.2
Intex ,Full HD LED,43,35999,35999,Android,4.2
JVC,Ultra HD LED,65,55000,109000,Android,4.1
JVC,HD LED,32,16990,21000,Android,4.1
JVC,HD LED,24,12999,12999,Android,3.8
KRISONS,HD LED,19,5499,7999,Android,
KRISONS,HD LED,17,5499,6999,Android,
Lloyd ,Full HD LED,43,34990,48990,Linux,
Lloyd ,Ultra HD LED,50,44999,84990,Linux,4.3
Lloyd ,HD LED,32,18689,26957,Linux,
Lloyd ,Full HD LED,39,22990,39990,Linux,3.8
Lloyd ,Full HD LED,48,39999,50990,Linux,
Lloyd ,Ultra HD LED,43,33999,69990,Linux,4.2
Lloyd ,HD LED,32,14990,19990,Linux,4.3
Lloyd ,Ultra HD LED,42,25990,59900,Linux,3.5
Lloyd ,Full HD LED,55,114990,114990,Linux,
Lloyd ,Full HD LED,46,55990,55990,Linux,5
Lloyd ,HD LED,32,11000,20990,Linux,3.7
Lloyd ,HD LED,24,8103,15990,Linux,3.7
Lloyd ,Ultra HD LED,55,51999,99990,Linux,3.7
Lloyd ,HD LED,24,13200,14990,Linux,2.5
Lloyd ,Full HD LED,43,25490,39000,Linux,
LumX ,HD LED,24,7290,17900,Android,4.3
LumX ,HD LED,40,29990,29990,Android,
LumX ,Ultra HD LED,55,65900,65900,Android,
MarQ by Flipkart,HD LED,24,7499,14999,,4.2
MarQ by Flipkart,Full HD LED,24,6999,11499,,4.3
MarQ by Flipkart,Full HD LED,32,9499,16499,,4.3
MarQ by Flipkart,HD LED,32,13499,15499,Android,4.1
MarQ by Flipkart,Full HD LED,40,18999,29499,Linux,4.3
MarQ by Flipkart,HD LED,32,10499,18499,Linux,4.3
Micromax,Ultra HD LED,43,91990,91990,Android,4
Micromax,Full HD LED,40,29990,29990,Android,4
Micromax,Full HD LED,49,65990,65990,Android,4.4
Micromax,Full HD LED,50,66990,66990,Android,4.3
Micromax,Full HD LED,55,71990,71990,Android,4.2
Micromax,HD LED,24,11999,13490,Android,3.9
Micromax,Full HD LED,24,6179,13390,Android,4.2
Micromax,HD LED,20,5364,10990,Android,4.1
MOTOROLA,Ultra HD LED,55,42999,61999,Android,4.4
MURPHY ,Full HD LED,32,13990,14999,,3.7
MURPHY ,HD LED,24,7490,12990,,3
MURPHY ,Full HD LED,32,16799,17999,Android,2.6
OnePlus,Ultra HD LED,50,43999,49999,Android,4.3
OnePlus,QLED Ultra HD,55,84990,99900,Android,4.8
OnePlus,Ultra HD LED,65,66999,69999,Android,4.3
OnePlus,QLED Ultra HD,55,62899,69900,Android,4.6
Onida,HD LED,24,8359,13490,Android,4.2
Onida,HD LED,32,22990,22990,Android,4.7
Onida,Ultra HD LED,43,33190,52900,Android,4.2
Onida,Full HD LED,32,56990,56990,Android,5
Onida,Full HD LED,32,35990,35990,Android,4.7
Onix ,HD LED,32,19790,19790,Android,
Onix ,HD LED,39,14990,26349,Android,3.7
Onix ,Full HD LED,39,35990,35990,Android,
Oxygen ,Ultra HD LED,65,56990,124990,Android,
Oxygen ,Ultra HD LED,43,27999,42990,Android,
Panasonic,Ultra HD LED,43,30001,79900,HomeOS,4.3
Panasonic,Ultra HD LED,49,43259,66900,HomeOS,
Panasonic,Ultra HD LED,55,55890,82400,HomeOS,
PHILIPS,Full HD LED,43,28999,35990,Linux,4
PHILIPS,HD LED,32,18999,20990,Linux,4
PHILIPS,Full HD LED,43,33459,36990,Android,4.5
PHILIPS,Full HD LED,22,6649,12990,,3.9
Power Guard,HD LED,24,10990,12990,HomeOS,
Power Guard,HD LED,24,11999,14990,Android,
Power Guard,HD LED,32,13300,19990,HomeOS,
Power Guard,HD LED,32,15650,28990,Android,
realme ,HD LED,32,11999,21999,Linux,4.3
realme ,Ultra HD LED,55,46999,69999,Android,4.3
RGL ,Full HD LED,20,4849,8990,HomeOS,3.9
RGL ,Full HD LED,21,5200,9420,HomeOS,3.9
RGL ,Full HD LED,24,5459,12000,HomeOS,3.9
RGL ,HD LED,32,11290,16990,HomeOS,3.7
Weston ,Full HD LED,40,27990,27990,Android,4.4
Weston ,Full HD LED,43,37990,37990,Android,3.9
Weston ,Ultra HD LED,43,40990,40990,Android,4.3
Weston ,Full HD LED,49,49990,49990,Android,4.4
Vu,Ultra HD LED,65,116000,116000,Linux,4.5
Vu,Full HD LED,40,16999,27000,Linux,4.4
Vu,Ultra HD LED,43,23999,46165,Linux,4.3
Vu,Ultra HD LED,50,26360,41990,Linux,4.4
VG ,HD LED,32,15990,20500,Android,
VG ,HD LED,39,17999,31000,Android,
T-Series,HD LED,32,12499,17990,Linux,
T-Series,HD LED,32,16499,18990,Android,3.9
T-Series,HD LED,32,15999,20990,Android,
T-Series,Full HD LED,40,18499,25990,Android,
TOSHIBA,Full HD LED,43,24999,31990,VIDAA,
TOSHIBA,Ultra HD LED,65,66999,84990,VIDAA,4.5
TOSHIBA,Full HD LED,49,29999,51999,VIDAA,
TOSHIBA,Ultra HD LED,65,96999,133990,VIDAA,
TCL ,HD LED,32,6166,19990,HomeOS,4.2
TCL ,HD LED,24,6940,15490,HomeOS,4.2
TCL ,HD LED,40,8679,29990,HomeOS,4
Sharp ,Full HD LED,60,229900,229900,Linux,
Sharp ,Full HD LED,46,151990,151990,Linux,
Sharp ,Full HD LED,70,449900,449900,Linux,
Sharp ,Full HD LED,52,199990,199990,Linux,
Sharp ,Full HD LED,40,103990,103990,Linux,
Sharp ,HD LED,32,15990,22500,Linux,3
Sharp ,HD LED,24,8220,14990,Linux,3.7
Sansui ,Ultra HD LED,43,30490,35350,Linux,4.1
Sansui ,Ultra HD LED,55,40999,53290,Linux,4.2
Sansui ,HD LED,32,15290,20990,Linux,
Sansui ,QLED Ultra HD,55,49900,72590,Linux,4.3
Sansui ,Ultra HD LED,65,47999,70290,Linux,4.1
Sansui ,Full HD LED,49,25999,49999,Android,4.3
Sansui ,Ultra HD LED,49,59990,59990,Linux,
Sansui ,HD LED,24,10500,14900,Android,
SONY ,Ultra HD LED,55,79290,109900,Linux,4.7
SONY ,Full HD LED,43,44900,44900,Linux,4.6
SONY ,Ultra HD LED,65,118641,183249,Linux,4.7
SONY ,Ultra HD LED,50,83491,99913,Linux,4.7
SONY ,Full HD LED,43,53423,53423,Linux,4.4
SONY ,Full HD LED,40,29999,49900,Linux,4.4
SONY ,HD LED,32,25990,31990,Linux,4.4
SONY ,Full HD LED,32,21223,33900,Linux,4.5
SONY ,Ultra HD LED,49,54999,114900,Linux,4.6
SONY ,Full HD LED,43,44999,57900,Linux,4.4
SONY ,Full HD LED,40,41499,51900,Linux,4.6
SONY ,Ultra HD LED,65,149990,184990,Linux,4.3
SONY ,HD LED,32,32900,32900,Linux,4.4
SONY ,Full HD LED,43,56900,56900,Linux,4.6
